"","X","id_estudante","genero","idade","zona","escola","monitor","grupo","dfs1","dfs2","dfs3","dfs4","dfs5","dfs6","dfs7","dfs8","dfs9","media_dfs","fss1","fss2","fss3","fss4","fss5","fss6","fss7","fss8","fss9","media_fss"
"E76",76,"E76","M",11,"Urbana",4,"CE","Experimental",3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,"4",4,4,4,3.777777778
"E77",77,"E77","F",11,"Urbana",5,"GR","Experimental",4,2,5,3,5,4,2,3,5,3.666666667,4,2,3,5,4,"5",2,5,4,3.777777778
"E78",78,"E78","F",11,"Urbana",5,"GR","Experimental",2,3,4,3,2,4,3,5,3,3.222222222,3,2,3,3,4,"2",3,4,3,3
"E79",79,"E79","F",11,"Urbana",5,"GR","Experimental",3,4,4,4,4,5,1,2,3,3.333333333,4,3,4,3,4,"4",3,5,4,3.777777778
"E80",80,"E80","F",11,"Urbana",5,"GR","Experimental",2,2,3,2,4,2,1,1,3,2.222222222,2,5,3,4,3,"2",3,2,3,3
"E81",81,"E81","M",11,"Urbana",5,"GR","Experimental",NA,5,3,5,3,3,5,4,4,4,5,1,4,4,5,"5",2,5,5,4
"E82",82,"E82","M",11,"Urbana",5,"GR","Experimental",4,2,3,3,2,3,5,3,2,3,3,5,3,2,5,"5",4,5,1,3.666666667
"E83",83,"E83","M",12,"Urbana",5,"GR","Experimental",2,5,3,4,3,3,2,3,4,3.222222222,5,3,4,3,4,"2",4,3,5,3.666666667
"E84",84,"E84","M",12,"Urbana",5,"GR","Experimental",2,3,4,3,3,2,5,2,2,2.888888889,5,3,2,3,1,"3",3,2,5,3
"E85",85,"E85","M",11,"Urbana",5,"GR","Experimental",3,3,3,5,4,5,3,5,3,3.777777778,4,5,2,4,5,"3",4,5,5,4.111111111
"E87",87,"E87","M",11,"Urbana",5,"GR","Experimental",2,1,4,1,3,3,2,3,4,2.555555556,2,3,3,2,4,"4",2,5,3,3.111111111
"E88",88,"E88","F",11,"Urbana",5,"GR","Experimental",3,5,3,5,3,1,2,4,5,3.444444444,4,3,4,2,4,"4",3,4,4,3.555555556
"E89",89,"E89","F",12,"Urbana",5,"GR","Experimental",4,4,5,4,2,4,5,4,5,4.111111111,4,4,2,1,4,"2",4,3,3,3
"E90",90,"E90","F",12,"Urbana",5,"GR","Experimental",4,3,3,1,5,2,1,2,5,2.888888889,2,4,2,4,4,"2",4,4,4,3.333333333
"E91",91,"E91","M",11,"Urbana",5,"GR","Experimental",4,4,5,5,5,3,3,4,5,4.222222222,4,2,4,4,5,"4",3,4,4,3.777777778
"E92",92,"E92","F",NA,"",5,"GR","Experimental",3,3,5,5,5,3,4,3,5,4,1,4,4,4,3,"4",4,5,4,3.666666667
"E93",93,"E93","F",11,"Urbana",5,"JC","Experimental",1,1,3,1,3,4,4,4,1,2.444444444,3,3,2,4,3,"2",4,3,3,3
"E94",94,"E94","F",10,"Urbana",5,"JC","Experimental",3,3,5,5,5,3,1,3,5,3.666666667,5,4,4,4,5,"4",2,1,3,3.555555556
"E98",98,"E98","F",10,"Urbana",5,"JC","Experimental",5,1,3,3,3,3,1,1,1,2.333333333,3,3,4,3,3,"3",4,2,2,3
"E99",99,"E99","F",11,"Urbana",5,"JC","Experimental",5,5,4,5,5,5,1,3,5,4.222222222,4,3,4,4,5,"3",2,4,4,3.666666667
"E101",101,"E101","M",11,"Urbana",5,"JC","Experimental",2,3,4,3,2,3,3,4,3,3,3,3,2,3,4,"3",3,5,3,3.222222222
"E102",102,"E102","F",11,"Urbana",5,"JC","Experimental",3,3,5,5,5,5,2,5,5,4.222222222,4,4,3,4,4,"3",3,4,5,3.777777778
"E103",103,"E103","F",11,"Urbana",5,"JC","Experimental",2,3,3,4,5,3,1,3,3,3,2,4,2,4,2,"4",2,NA,2,2.75
"E104",104,"E104","M",11,"Urbana",5,"JC","Experimental",3,3,5,3,3,5,3,3,4,3.555555556,4,4,5,4,4,"",4,4,2,3.875
"E106",106,"E106","M",NA,"",5,"JC","Experimental",2,1,5,4,3,3,2,4,1,2.777777778,5,2,4,2,2,"4",2,2,3,2.888888889
"E107",107,"E107","M",11,"Urbana",5,"JC","Experimental",3,4,5,3,3,3,3,5,4,3.666666667,NA,4,2,3,3,"5",4,5,4,3.75
"E108",108,"E108","M",11,"Urbana",5,"JC","Experimental",5,3,3,3,3,5,4,4,5,3.888888889,1,4,1,2,4,"4",2,1,5,2.666666667
"E110",110,"E110","M",11,"",5,"MF","Experimental",5,3,3,4,5,5,1,2,2,3.333333333,4,4,1,5,1,"5",5,4,3,3.555555556
"E111",111,"E111","M",10,"",5,"MF","Experimental",1,3,2,3,5,3,2,4,5,3.111111111,3,4,3,4,3,"4",3,4,3,3.444444444
"E112",112,"E112","F",10,"",5,"MF","Experimental",5,3,3,5,5,5,3,5,1,3.888888889,4,3,3,4,4,"4",4,4,3,3.666666667
"E114",114,"E114","M",10,"",5,"MF","Experimental",2,4,5,5,4,4,3,4,3,3.777777778,4,5,4,4,4,"5",5,4,4,4.333333333
"E115",115,"E115","M",11,"",5,"MF","Experimental",2,4,3,3,5,5,3,3,5,3.666666667,3,4,5,3,4,"4",5,4,5,4.111111111
"E118",118,"E118","F",11,"",5,"MF","Experimental",3,1,2,1,3,2,1,3,1,1.888888889,4,1,2,3,5,"1",3,5,1,2.777777778
"E119",119,"E119","M",11,"",5,"MF","Experimental",5,5,5,5,5,5,1,2,5,4.222222222,5,5,5,5,5,"5",5,5,5,5
"E120",120,"E120","F",NA,"",5,"MF","Experimental",4,3,5,5,5,1,1,5,3,3.555555556,3,4,2,5,4,"3",3,4,5,3.666666667
"E121",121,"E121","M",NA,"",5,"MF","Experimental",3,2,2,NA,5,5,1,3,1,2.75,3,3,4,3,4,"3",2,4,3,3.222222222
"E122",122,"E122","F",NA,"",5,"MF","Experimental",3,5,3,3,3,5,3,3,5,3.666666667,4,3,4,5,1,"3",4,2,3,3.222222222
"E123",123,"E123","M",NA,"",5,"MF","Experimental",3,3,5,4,5,4,2,5,5,4,4,2,4,4,4,"4",2,4,3,3.444444444
"E124",124,"E124","F",NA,"",5,"MF","Experimental",2,3,2,3,2,3,2,3,3,2.555555556,1,1,3,2,2,"3",2,2,3,2.111111111
"E125",125,"E125","F",11,"",5,"EA","Experimental",3,2,5,3,2,3,3,2,3,2.888888889,4,4,4,4,4,"2",2,2,3,3.222222222
"E126",126,"E126","M",11,"",5,"EA","Experimental",3,2,1,3,5,3,3,2,3,2.777777778,1,3,2,4,3,"1",4,2,3,2.555555556
"E128",128,"E128","F",11,"",5,"EA","Experimental",2,3,5,NA,5,4,1,2,4,3.25,4,4,3,2,3,"3",5,5,4,3.666666667
"E129",129,"E129","F",NA,"",5,"EA","Experimental",4,2,4,4,2,3,1,2,3,2.777777778,5,4,5,4,5,"4",5,5,5,4.666666667
"E130",130,"E130","M",11,"",5,"EA","Experimental",5,4,5,5,4,4,1,2,4,3.777777778,5,5,5,5,5,"5",3,5,5,4.777777778
"E131",131,"E131","M",11,"",5,"EA","Experimental",3,2,1,4,3,2,2,4,4,2.777777778,3,2,4,2,4,"3",4,1,3,2.888888889
"E132",132,"E132","F",12,"",5,"EA","Experimental",4,3,5,5,5,2,1,3,5,3.666666667,4,4,4,4,4,"4",4,4,4,4
"E133",133,"E133","M",10,"",5,"EA","Experimental",1,1,5,5,3,4,5,3,5,3.555555556,4,1,2,NA,2,"4",3,5,3,3
"E135",135,"E135","F",11,"",5,"EA","Experimental",3,2,5,2,5,4,5,4,3,3.666666667,5,4,5,4,3,"1",4,3,5,3.777777778
"E136",136,"E136","F",10,"",5,"EA","Experimental",3,3,3,3,4,3,3,3,3,3.111111111,4,2,4,2,4,"4",3,4,3,3.333333333
"E137",137,"E137","M",11,"",5,"EA","Experimental",5,1,NA,3,4,3,1,5,4,3.25,4,3,4,5,4,"5",4,4,2,3.888888889
"E138",138,"E138","F",13,"",5,"EA","Experimental",1,2,4,2,3,2,3,4,2,2.555555556,2,1,3,4,2,"5",3,2,4,2.888888889
"E139",139,"E139","M",NA,"",5,"EA","Experimental",3,2,5,4,3,2,1,3,2,2.777777778,3,2,5,4,3,"2",4,3,4,3.333333333
"E140",140,"E140","F",NA,"",5,"EA","Experimental",5,2,3,5,5,5,3,2,4,3.777777778,5,4,5,4,5,"4",5,4,5,4.555555556
"E141",141,"E141","M",13,"",6,"VL","Experimental",2,4,5,3,3,4,1,4,2,3.111111111,1,3,2,5,3,"2",3,4,5,3.111111111
"E142",142,"E142","F",10,"",6,"VL","Experimental",3,3,5,3,5,3,3,3,5,3.666666667,5,4,4,4,4,"4",5,5,5,4.444444444
"E143",143,"E143","F",12,"",6,"VL","Experimental",3,3,5,5,5,3,3,3,3,3.666666667,4,4,4,4,5,"5",5,4,5,4.444444444
"E144",144,"E144","M",11,"",6,"VL","Experimental",3,4,4,2,4,1,5,3,4,3.333333333,4,2,4,4,3,"3",2,5,4,3.444444444
"E145",145,"E145","F",11,"",6,"VL","Experimental",4,4,5,3,5,3,3,5,5,4.111111111,4,5,3,4,5,"5",4,4,5,4.333333333
"E146",146,"E146","F",11,"",6,"VL","Experimental",5,3,5,NA,5,NA,3,NA,2,3.833333333,5,4,3,3,5,"4",3,5,3,3.888888889
"E147",147,"E147","F",11,"",6,"VL","Experimental",4,3,4,3,2,5,2,5,5,3.666666667,5,2,4,5,4,"5",4,5,4,4.222222222
"E148",148,"E148","F",11,"",6,"VL","Experimental",3,3,5,3,5,3,3,5,4,3.777777778,3,4,2,3,4,"4",2,3,3,3.111111111
"E149",149,"E149","M",12,"",6,"VL","Experimental",3,3,5,3,3,3,2,3,4,3.222222222,4,3,5,3,4,"1",4,3,4,3.444444444
"E151",151,"E151","M",11,"",6,"VL","Experimental",3,4,5,3,3,3,1,3,1,2.888888889,4,2,5,4,2,"4",2,4,4,3.444444444
"E154",154,"E154","F",10,"",6,"VL","Experimental",3,3,5,3,5,3,3,3,4,3.555555556,4,2,4,3,4,"2",4,3,4,3.333333333
"E155",155,"E155","M",10,"",6,"VL","Experimental",2,1,5,3,5,3,1,3,1,2.666666667,4,3,4,3,4,"4",4,4,5,3.888888889
"E156",156,"E156","F",12,"",6,"VL","Experimental",5,3,5,4,5,3,2,3,5,3.888888889,4,2,5,4,4,"5",5,4,4,4.111111111
"E157",157,"E157","M",11,"Urbana",1,"PR","Controle",4,1,2,3,3,5,1,2,1,2.444444444,4,1,4,3,4,"2",4,1,3,2.888888889
"E158",158,"E158","F",10,"Urbana",1,"PR","Controle",2,5,3,2,3,5,3,1,3,3,4,4,2,3,3,"2",2,4,2,2.888888889
"E159",159,"E159","M",15,"Urbana",1,"PR","Controle",3,1,1,3,3,5,1,1,1,2.111111111,2,2,2,3,2,"3",1,2,3,2.222222222
"E160",160,"E160","M",11,"Urbana",1,"PR","Controle",5,1,5,5,5,5,5,1,5,4.111111111,5,2,5,5,4,"5",2,5,4,4.111111111
"E161",161,"E161","F",10,"Urbana",1,"PR","Controle",4,2,3,3,2,3,3,2,4,2.888888889,1,5,2,4,3,"3",4,2,5,3.222222222
"E162",162,"E162","F",11,"Urbana",1,"PR","Controle",4,3,4,3,3,3,4,1,5,3.333333333,3,3,4,3,4,"3",1,5,4,3.333333333
"E163",163,"E163","M",10,"Urbana",1,"PR","Controle",4,4,4,3,2,4,2,3,4,3.333333333,3,4,4,3,5,"5",4,5,3,4
"E164",164,"E164","M",12,"Urbana",1,"PR","Controle",1,2,1,1,2,1,2,1,1,1.333333333,1,5,1,2,4,"1",4,4,2,2.666666667
"E165",165,"E165","F",10,"Urbana",1,"PR","Controle",5,2,3,5,5,3,1,3,5,3.555555556,5,4,4,4,5,"4",5,4,4,4.333333333
"E166",166,"E166","M",12,"Urbana",1,"PR","Controle",3,1,2,3,2,5,1,3,5,2.777777778,3,4,3,1,3,"3",2,5,2,2.888888889
"E168",168,"E168","F",11,"Rural",1,"PR","Controle",2,1,5,2,NA,2,3,3,4,2.75,3,2,4,4,4,"4",4,4,4,3.666666667
"E169",169,"E169","F",11,"Urbana",1,"PR","Controle",3,2,5,4,5,3,1,4,3,3.333333333,2,2,4,3,4,"3",5,3,4,3.333333333
"E172",172,"E172","F",11,"Urbana",1,"PR","Controle",2,1,3,5,5,5,1,3,5,3.333333333,2,4,5,2,5,"5",4,5,5,4.111111111
"E173",173,"E173","M",11,"Urbana",1,"PR","Controle",4,3,4,4,3,4,2,3,4,3.444444444,3,3,2,3,4,"3",2,3,4,3
"E175",175,"E175","M",10,"Urbana",1,"PR","Controle",4,3,2,3,1,5,1,2,3,2.666666667,4,2,4,4,4,"4",2,4,2,3.333333333
"E176",176,"E176","M",11,"Urbana",1,"PR","Controle",2,3,1,3,2,2,3,2,3,2.333333333,4,3,2,4,3,"4",1,4,5,3.333333333
"E177",177,"E177","F",11,"Urbana",1,"PR","Controle",3,2,5,5,3,2,3,3,5,3.444444444,4,3,4,4,3,"4",4,4,3,3.666666667
"E178",178,"E178","M",11,"Urbana",2,"MM","Controle",5,5,4,3,3,3,3,4,5,3.888888889,4,2,4,4,5,"4",5,4,5,4.111111111
"E179",179,"E179","F",11,"Urbana",2,"MM","Controle",2,3,4,3,3,4,1,3,4,3,2,2,3,2,2,"3",2,3,3,2.444444444
"E180",180,"E180","M",11,"Urbana",2,"MM","Controle",1,NA,5,3,2,4,1,2,1,2.375,3,2,3,4,3,"3",2,3,4,3
"E181",181,"E181","M",11,"Urbana",2,"MM","Controle",5,3,5,3,5,3,1,1,3,3.222222222,4,3,4,5,4,"4",1,4,5,3.777777778
"E183",183,"E183","F",11,"Rural",2,"MM","Controle",4,3,2,4,2,3,4,2,5,3.222222222,5,3,4,5,2,"3",NA,5,3,3.75
"E184",184,"E184","F",10,"Urbana",2,"MM","Controle",2,2,5,3,5,4,5,3,4,3.666666667,4,5,4,4,5,"4",4,4,5,4.333333333
"E185",185,"E185","F",11,"Urbana",2,"MM","Controle",3,2,5,5,3,3,3,4,5,3.666666667,4,5,4,1,5,"5",4,5,2,3.888888889
"E186",186,"E186","M",11,"Urbana",2,"MM","Controle",3,4,5,5,4,5,3,3,5,4.111111111,4,4,3,4,4,"4",4,3,4,3.777777778
"E188",188,"E188","M",11,"Rural",2,"MM","Controle",2,4,3,1,5,NA,1,3,4,2.875,3,2,4,1,5,"3",2,4,3,3
"E189",189,"E189","M",11,"Urbana",2,"MM","Controle",4,3,4,3,5,5,5,3,4,4,3,5,3,4,5,"3",5,3,3,3.777777778
"E191",191,"E191","M",13,"",2,"MM","Controle",3,5,5,3,1,4,3,5,2,3.444444444,3,4,1,2,3,"4",5,1,5,3.111111111
"E195",195,"E195","M",16,"Urbana",2,"AC","Controle",5,1,3,3,5,5,4,4,2,3.555555556,3,1,5,4,2,"3",1,4,5,3.111111111
"E196",196,"E196","M",11,"Urbana",2,"AC","Controle",3,1,3,1,5,3,5,4,5,3.333333333,4,5,3,4,4,"5",4,3,4,4
"E197",197,"E197","F",11,"Urbana",2,"AC","Controle",5,3,5,4,5,3,5,3,3,4,3,3,3,3,4,"3",4,4,4,3.444444444
"E198",198,"E198","F",10,"Rural",2,"AC","Controle",3,4,3,4,5,3,3,4,3,3.555555556,3,2,1,2,4,"3",2,4,3,2.666666667
"E199",199,"E199","M",12,"Urbana",2,"AC","Controle",2,4,3,5,3,4,2,4,2,3.222222222,5,4,3,4,3,"5",3,2,4,3.666666667
"E200",200,"E200","F",11,"Urbana",2,"AC","Controle",3,5,2,2,3,NA,5,5,5,3.75,3,1,2,3,1,"3",4,2,5,2.666666667
"E201",201,"E201","M",10,"Rural",2,"AC","Controle",5,3,4,2,3,5,4,3,5,3.777777778,1,3,2,2,3,"2",3,1,2,2.111111111
"E205",205,"E205","M",NA,"",2,"AC","Controle",1,2,4,5,3,2,4,3,5,3.222222222,5,3,4,1,2,"3",4,5,1,3.111111111
"E206",206,"E206","M",12,"",2,"AC","Controle",2,5,4,2,5,1,4,2,1,2.888888889,5,2,1,3,5,"2",1,5,1,2.777777778
"E207",207,"E207","F",12,"",2,"AC","Controle",5,3,1,3,4,3,4,3,4,3.333333333,4,3,2,3,5,"5",NA,4,5,3.875
"E208",208,"E208","M",12,"",2,"AC","Controle",4,5,4,5,4,5,5,5,3,4.444444444,4,3,4,5,4,"5",4,4,4,4.111111111
"E209",209,"E209","F",13,"",2,"AC","Controle",3,3,5,5,5,4,3,3,3,3.777777778,3,2,3,4,2,"4",3,5,3,3.222222222
"E211",211,"E211","F",10,"Rural",3,"ML","Controle",5,5,5,5,5,5,1,5,5,4.555555556,4,3,4,4,4,"4",5,5,4,4.111111111
"E212",212,"E212","M",11,"Rural",3,"ML","Controle",5,5,5,4,5,3,1,3,5,4,5,3,3,2,2,"3",4,3,2,3
"E213",213,"E213","M",12,"Urbana",3,"ML","Controle",4,2,4,3,4,2,4,3,5,3.444444444,3,4,2,5,3,"2",3,5,NA,3.375
"E214",214,"E214","M",12,"Rural",3,"ML","Controle",3,2,3,5,3,3,2,3,4,3.111111111,5,3,4,4,NA,"4",3,2,3,3.5
"E215",215,"E215","F",11,"Rural",3,"ML","Controle",3,1,4,5,5,5,3,1,5,3.555555556,4,1,4,4,2,"4",3,3,3,3.111111111
"E216",216,"E216","M",10,"Rural",3,"ML","Controle",5,NA,5,3,3,3,1,5,5,3.75,2,4,2,2,3,"3",2,4,4,2.888888889
"E217",217,"E217","F",10,"Rural",3,"ML","Controle",5,4,5,4,5,5,2,5,5,4.444444444,4,5,5,4,5,"4",3,5,4,4.333333333
