"","id_estudante","genero","idade","zona","escola","monitor","grupo","dfs1","dfs2","dfs3","dfs4","dfs5","dfs6","dfs7","dfs8","dfs9","media_dfs","fss1","fss2","fss3","fss4","fss5","fss6","fss7","fss8","fss9","media_fss"
"57","E57","M",NA,"",3,"ML","Experimental",4,2,3,3,2,2,3,1,3,2.555555556,2,3,3,4,2,"2",3,5,2,2.888888889
"58","E58","F",NA,"",3,"ML","Experimental",3,5,5,4,4,4,3,2,4,3.777777778,3,4,3,3,4,"4",3,4,4,3.555555556
"59","E59","M",NA,"",3,"ML","Experimental",4,5,5,5,4,5,1,5,5,4.333333333,3,1,4,4,4,"3",4,3,4,3.333333333
"60","E60","M",NA,"",3,"ML","Experimental",5,3,5,3,4,5,1,4,5,3.888888889,4,2,3,3,4,"4",4,3,3,3.333333333
"61","E61","F",12,"Rural",4,"CE","Experimental",5,3,5,3,5,2,1,5,5,3.777777778,3,3,4,3,3,"3",5,3,5,3.555555556
"62","E62","F",11,"Rural",4,"CE","Experimental",3,4,4,4,4,3,4,4,3,3.666666667,4,5,NA,NA,5,"",NA,NA,5,4.75
"63","E63","M",11,"Urbana",4,"CE","Experimental",5,3,5,3,4,4,2,5,3,3.777777778,4,5,4,3,NA,"4",3,4,3,3.75
"64","E64","M",13,"Urbana",4,"CE","Experimental",3,5,5,3,5,NA,3,3,5,4,5,2,NA,5,3,"1",4,3,5,3.5
"66","E66","M",11,"Urbana",4,"CE","Experimental",5,3,4,3,5,3,1,5,4,3.666666667,4,5,4,3,4,"3",5,4,5,4.111111111
"67","E67","M",11,"Rural",4,"CE","Experimental",3,3,5,1,4,3,1,5,2,3,2,4,3,2,4,"2",4,3,1,2.777777778
"68","E68","M",12,"Rural",4,"CE","Experimental",3,3,2,3,3,3,2,5,3,3,4,4,4,4,3,"3",4,4,4,3.777777778
"69","E69","M",11,"Rural",4,"CE","Experimental",3,4,3,4,3,3,3,3,4,3.333333333,4,4,3,3,4,"2",2,4,4,3.333333333
"70","E70","M",11,"Rural",4,"CE","Experimental",3,5,4,2,2,4,3,3,3,3.222222222,4,2,4,2,4,"2",4,2,4,3.111111111
"71","E71","F",11,"Rural",4,"CE","Experimental",3,3,4,4,4,3,1,2,5,3.222222222,4,4,3,3,4,"3",4,4,3,3.555555556
"72","E72","M",10,"Rural",4,"CE","Experimental",3,2,5,1,2,3,3,2,5,2.888888889,5,4,3,5,5,"4",3,5,4,4.222222222
"74","E74","F",11,"Rural",4,"CE","Experimental",4,5,4,4,5,5,4,5,NA,4.5,5,4,5,5,4,"5",5,4,5,4.666666667
"75","E75","M",11,"Urbana",4,"CE","Experimental",5,3,4,5,3,3,1,3,4,3.444444444,4,5,4,3,2,"1",2,3,4,3.111111111
"76","E76","M",11,"Urbana",4,"CE","Experimental",3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,"4",4,4,4,3.777777778
"77","E77","F",11,"Urbana",5,"GR","Experimental",4,2,5,3,5,4,2,3,5,3.666666667,4,2,3,5,4,"5",2,5,4,3.777777778
"78","E78","F",11,"Urbana",5,"GR","Experimental",2,3,4,3,2,4,3,5,3,3.222222222,3,2,3,3,4,"2",3,4,3,3
"79","E79","F",11,"Urbana",5,"GR","Experimental",3,4,4,4,4,5,1,2,3,3.333333333,4,3,4,3,4,"4",3,5,4,3.777777778
"80","E80","F",11,"Urbana",5,"GR","Experimental",2,2,3,2,4,2,1,1,3,2.222222222,2,5,3,4,3,"2",3,2,3,3
"81","E81","M",11,"Urbana",5,"GR","Experimental",NA,5,3,5,3,3,5,4,4,4,5,1,4,4,5,"5",2,5,5,4
"82","E82","M",11,"Urbana",5,"GR","Experimental",4,2,3,3,2,3,5,3,2,3,3,5,3,2,5,"5",4,5,1,3.666666667
"83","E83","M",12,"Urbana",5,"GR","Experimental",2,5,3,4,3,3,2,3,4,3.222222222,5,3,4,3,4,"2",4,3,5,3.666666667
"84","E84","M",12,"Urbana",5,"GR","Experimental",2,3,4,3,3,2,5,2,2,2.888888889,5,3,2,3,1,"3",3,2,5,3
"85","E85","M",11,"Urbana",5,"GR","Experimental",3,3,3,5,4,5,3,5,3,3.777777778,4,5,2,4,5,"3",4,5,5,4.111111111
"87","E87","M",11,"Urbana",5,"GR","Experimental",2,1,4,1,3,3,2,3,4,2.555555556,2,3,3,2,4,"4",2,5,3,3.111111111
"88","E88","F",11,"Urbana",5,"GR","Experimental",3,5,3,5,3,1,2,4,5,3.444444444,4,3,4,2,4,"4",3,4,4,3.555555556
"89","E89","F",12,"Urbana",5,"GR","Experimental",4,4,5,4,2,4,5,4,5,4.111111111,4,4,2,1,4,"2",4,3,3,3
"90","E90","F",12,"Urbana",5,"GR","Experimental",4,3,3,1,5,2,1,2,5,2.888888889,2,4,2,4,4,"2",4,4,4,3.333333333
"91","E91","M",11,"Urbana",5,"GR","Experimental",4,4,5,5,5,3,3,4,5,4.222222222,4,2,4,4,5,"4",3,4,4,3.777777778
"92","E92","F",NA,"",5,"GR","Experimental",3,3,5,5,5,3,4,3,5,4,1,4,4,4,3,"4",4,5,4,3.666666667
"93","E93","F",11,"Urbana",5,"JC","Experimental",1,1,3,1,3,4,4,4,1,2.444444444,3,3,2,4,3,"2",4,3,3,3
"94","E94","F",10,"Urbana",5,"JC","Experimental",3,3,5,5,5,3,1,3,5,3.666666667,5,4,4,4,5,"4",2,1,3,3.555555556
"98","E98","F",10,"Urbana",5,"JC","Experimental",5,1,3,3,3,3,1,1,1,2.333333333,3,3,4,3,3,"3",4,2,2,3
"99","E99","F",11,"Urbana",5,"JC","Experimental",5,5,4,5,5,5,1,3,5,4.222222222,4,3,4,4,5,"3",2,4,4,3.666666667
"101","E101","M",11,"Urbana",5,"JC","Experimental",2,3,4,3,2,3,3,4,3,3,3,3,2,3,4,"3",3,5,3,3.222222222
"102","E102","F",11,"Urbana",5,"JC","Experimental",3,3,5,5,5,5,2,5,5,4.222222222,4,4,3,4,4,"3",3,4,5,3.777777778
"103","E103","F",11,"Urbana",5,"JC","Experimental",2,3,3,4,5,3,1,3,3,3,2,4,2,4,2,"4",2,NA,2,2.75
"104","E104","M",11,"Urbana",5,"JC","Experimental",3,3,5,3,3,5,3,3,4,3.555555556,4,4,5,4,4,"",4,4,2,3.875
"106","E106","M",NA,"",5,"JC","Experimental",2,1,5,4,3,3,2,4,1,2.777777778,5,2,4,2,2,"4",2,2,3,2.888888889
"107","E107","M",11,"Urbana",5,"JC","Experimental",3,4,5,3,3,3,3,5,4,3.666666667,NA,4,2,3,3,"5",4,5,4,3.75
"108","E108","M",11,"Urbana",5,"JC","Experimental",5,3,3,3,3,5,4,4,5,3.888888889,1,4,1,2,4,"4",2,1,5,2.666666667
"110","E110","M",11,"",5,"MF","Experimental",5,3,3,4,5,5,1,2,2,3.333333333,4,4,1,5,1,"5",5,4,3,3.555555556
"111","E111","M",10,"",5,"MF","Experimental",1,3,2,3,5,3,2,4,5,3.111111111,3,4,3,4,3,"4",3,4,3,3.444444444
"112","E112","F",10,"",5,"MF","Experimental",5,3,3,5,5,5,3,5,1,3.888888889,4,3,3,4,4,"4",4,4,3,3.666666667
"114","E114","M",10,"",5,"MF","Experimental",2,4,5,5,4,4,3,4,3,3.777777778,4,5,4,4,4,"5",5,4,4,4.333333333
"115","E115","M",11,"",5,"MF","Experimental",2,4,3,3,5,5,3,3,5,3.666666667,3,4,5,3,4,"4",5,4,5,4.111111111
"118","E118","F",11,"",5,"MF","Experimental",3,1,2,1,3,2,1,3,1,1.888888889,4,1,2,3,5,"1",3,5,1,2.777777778
"119","E119","M",11,"",5,"MF","Experimental",5,5,5,5,5,5,1,2,5,4.222222222,5,5,5,5,5,"5",5,5,5,5
"120","E120","F",NA,"",5,"MF","Experimental",4,3,5,5,5,1,1,5,3,3.555555556,3,4,2,5,4,"3",3,4,5,3.666666667
"121","E121","M",NA,"",5,"MF","Experimental",3,2,2,NA,5,5,1,3,1,2.75,3,3,4,3,4,"3",2,4,3,3.222222222
"122","E122","F",NA,"",5,"MF","Experimental",3,5,3,3,3,5,3,3,5,3.666666667,4,3,4,5,1,"3",4,2,3,3.222222222
"123","E123","M",NA,"",5,"MF","Experimental",3,3,5,4,5,4,2,5,5,4,4,2,4,4,4,"4",2,4,3,3.444444444
"124","E124","F",NA,"",5,"MF","Experimental",2,3,2,3,2,3,2,3,3,2.555555556,1,1,3,2,2,"3",2,2,3,2.111111111
"125","E125","F",11,"",5,"EA","Experimental",3,2,5,3,2,3,3,2,3,2.888888889,4,4,4,4,4,"2",2,2,3,3.222222222
"126","E126","M",11,"",5,"EA","Experimental",3,2,1,3,5,3,3,2,3,2.777777778,1,3,2,4,3,"1",4,2,3,2.555555556
"128","E128","F",11,"",5,"EA","Experimental",2,3,5,NA,5,4,1,2,4,3.25,4,4,3,2,3,"3",5,5,4,3.666666667
"129","E129","F",NA,"",5,"EA","Experimental",4,2,4,4,2,3,1,2,3,2.777777778,5,4,5,4,5,"4",5,5,5,4.666666667
"130","E130","M",11,"",5,"EA","Experimental",5,4,5,5,4,4,1,2,4,3.777777778,5,5,5,5,5,"5",3,5,5,4.777777778
"131","E131","M",11,"",5,"EA","Experimental",3,2,1,4,3,2,2,4,4,2.777777778,3,2,4,2,4,"3",4,1,3,2.888888889
"132","E132","F",12,"",5,"EA","Experimental",4,3,5,5,5,2,1,3,5,3.666666667,4,4,4,4,4,"4",4,4,4,4
"133","E133","M",10,"",5,"EA","Experimental",1,1,5,5,3,4,5,3,5,3.555555556,4,1,2,NA,2,"4",3,5,3,3
"135","E135","F",11,"",5,"EA","Experimental",3,2,5,2,5,4,5,4,3,3.666666667,5,4,5,4,3,"1",4,3,5,3.777777778
"136","E136","F",10,"",5,"EA","Experimental",3,3,3,3,4,3,3,3,3,3.111111111,4,2,4,2,4,"4",3,4,3,3.333333333
"137","E137","M",11,"",5,"EA","Experimental",5,1,NA,3,4,3,1,5,4,3.25,4,3,4,5,4,"5",4,4,2,3.888888889
"138","E138","F",13,"",5,"EA","Experimental",1,2,4,2,3,2,3,4,2,2.555555556,2,1,3,4,2,"5",3,2,4,2.888888889
"139","E139","M",NA,"",5,"EA","Experimental",3,2,5,4,3,2,1,3,2,2.777777778,3,2,5,4,3,"2",4,3,4,3.333333333
"140","E140","F",NA,"",5,"EA","Experimental",5,2,3,5,5,5,3,2,4,3.777777778,5,4,5,4,5,"4",5,4,5,4.555555556
"141","E141","M",13,"",6,"VL","Experimental",2,4,5,3,3,4,1,4,2,3.111111111,1,3,2,5,3,"2",3,4,5,3.111111111
"142","E142","F",10,"",6,"VL","Experimental",3,3,5,3,5,3,3,3,5,3.666666667,5,4,4,4,4,"4",5,5,5,4.444444444
"143","E143","F",12,"",6,"VL","Experimental",3,3,5,5,5,3,3,3,3,3.666666667,4,4,4,4,5,"5",5,4,5,4.444444444
"144","E144","M",11,"",6,"VL","Experimental",3,4,4,2,4,1,5,3,4,3.333333333,4,2,4,4,3,"3",2,5,4,3.444444444
"145","E145","F",11,"",6,"VL","Experimental",4,4,5,3,5,3,3,5,5,4.111111111,4,5,3,4,5,"5",4,4,5,4.333333333
"146","E146","F",11,"",6,"VL","Experimental",5,3,5,NA,5,NA,3,NA,2,3.833333333,5,4,3,3,5,"4",3,5,3,3.888888889
"147","E147","F",11,"",6,"VL","Experimental",4,3,4,3,2,5,2,5,5,3.666666667,5,2,4,5,4,"5",4,5,4,4.222222222
"148","E148","F",11,"",6,"VL","Experimental",3,3,5,3,5,3,3,5,4,3.777777778,3,4,2,3,4,"4",2,3,3,3.111111111
"149","E149","M",12,"",6,"VL","Experimental",3,3,5,3,3,3,2,3,4,3.222222222,4,3,5,3,4,"1",4,3,4,3.444444444
"151","E151","M",11,"",6,"VL","Experimental",3,4,5,3,3,3,1,3,1,2.888888889,4,2,5,4,2,"4",2,4,4,3.444444444
"154","E154","F",10,"",6,"VL","Experimental",3,3,5,3,5,3,3,3,4,3.555555556,4,2,4,3,4,"2",4,3,4,3.333333333
"155","E155","M",10,"",6,"VL","Experimental",2,1,5,3,5,3,1,3,1,2.666666667,4,3,4,3,4,"4",4,4,5,3.888888889
"156","E156","F",12,"",6,"VL","Experimental",5,3,5,4,5,3,2,3,5,3.888888889,4,2,5,4,4,"5",5,4,4,4.111111111
"157","E157","M",11,"Urbana",1,"PR","Controle",4,1,2,3,3,5,1,2,1,2.444444444,4,1,4,3,4,"2",4,1,3,2.888888889
"158","E158","F",10,"Urbana",1,"PR","Controle",2,5,3,2,3,5,3,1,3,3,4,4,2,3,3,"2",2,4,2,2.888888889
"159","E159","M",15,"Urbana",1,"PR","Controle",3,1,1,3,3,5,1,1,1,2.111111111,2,2,2,3,2,"3",1,2,3,2.222222222
"160","E160","M",11,"Urbana",1,"PR","Controle",5,1,5,5,5,5,5,1,5,4.111111111,5,2,5,5,4,"5",2,5,4,4.111111111
"161","E161","F",10,"Urbana",1,"PR","Controle",4,2,3,3,2,3,3,2,4,2.888888889,1,5,2,4,3,"3",4,2,5,3.222222222
"162","E162","F",11,"Urbana",1,"PR","Controle",4,3,4,3,3,3,4,1,5,3.333333333,3,3,4,3,4,"3",1,5,4,3.333333333
"163","E163","M",10,"Urbana",1,"PR","Controle",4,4,4,3,2,4,2,3,4,3.333333333,3,4,4,3,5,"5",4,5,3,4
"164","E164","M",12,"Urbana",1,"PR","Controle",1,2,1,1,2,1,2,1,1,1.333333333,1,5,1,2,4,"1",4,4,2,2.666666667
"165","E165","F",10,"Urbana",1,"PR","Controle",5,2,3,5,5,3,1,3,5,3.555555556,5,4,4,4,5,"4",5,4,4,4.333333333
"166","E166","M",12,"Urbana",1,"PR","Controle",3,1,2,3,2,5,1,3,5,2.777777778,3,4,3,1,3,"3",2,5,2,2.888888889
"168","E168","F",11,"Rural",1,"PR","Controle",2,1,5,2,NA,2,3,3,4,2.75,3,2,4,4,4,"4",4,4,4,3.666666667
"169","E169","F",11,"Urbana",1,"PR","Controle",3,2,5,4,5,3,1,4,3,3.333333333,2,2,4,3,4,"3",5,3,4,3.333333333
"172","E172","F",11,"Urbana",1,"PR","Controle",2,1,3,5,5,5,1,3,5,3.333333333,2,4,5,2,5,"5",4,5,5,4.111111111
"173","E173","M",11,"Urbana",1,"PR","Controle",4,3,4,4,3,4,2,3,4,3.444444444,3,3,2,3,4,"3",2,3,4,3
"175","E175","M",10,"Urbana",1,"PR","Controle",4,3,2,3,1,5,1,2,3,2.666666667,4,2,4,4,4,"4",2,4,2,3.333333333
"176","E176","M",11,"Urbana",1,"PR","Controle",2,3,1,3,2,2,3,2,3,2.333333333,4,3,2,4,3,"4",1,4,5,3.333333333
"177","E177","F",11,"Urbana",1,"PR","Controle",3,2,5,5,3,2,3,3,5,3.444444444,4,3,4,4,3,"4",4,4,3,3.666666667
"178","E178","M",11,"Urbana",2,"MM","Controle",5,5,4,3,3,3,3,4,5,3.888888889,4,2,4,4,5,"4",5,4,5,4.111111111
"179","E179","F",11,"Urbana",2,"MM","Controle",2,3,4,3,3,4,1,3,4,3,2,2,3,2,2,"3",2,3,3,2.444444444
"180","E180","M",11,"Urbana",2,"MM","Controle",1,NA,5,3,2,4,1,2,1,2.375,3,2,3,4,3,"3",2,3,4,3
"181","E181","M",11,"Urbana",2,"MM","Controle",5,3,5,3,5,3,1,1,3,3.222222222,4,3,4,5,4,"4",1,4,5,3.777777778
"183","E183","F",11,"Rural",2,"MM","Controle",4,3,2,4,2,3,4,2,5,3.222222222,5,3,4,5,2,"3",NA,5,3,3.75
"184","E184","F",10,"Urbana",2,"MM","Controle",2,2,5,3,5,4,5,3,4,3.666666667,4,5,4,4,5,"4",4,4,5,4.333333333
"185","E185","F",11,"Urbana",2,"MM","Controle",3,2,5,5,3,3,3,4,5,3.666666667,4,5,4,1,5,"5",4,5,2,3.888888889
"186","E186","M",11,"Urbana",2,"MM","Controle",3,4,5,5,4,5,3,3,5,4.111111111,4,4,3,4,4,"4",4,3,4,3.777777778
"188","E188","M",11,"Rural",2,"MM","Controle",2,4,3,1,5,NA,1,3,4,2.875,3,2,4,1,5,"3",2,4,3,3
"189","E189","M",11,"Urbana",2,"MM","Controle",4,3,4,3,5,5,5,3,4,4,3,5,3,4,5,"3",5,3,3,3.777777778
"191","E191","M",13,"",2,"MM","Controle",3,5,5,3,1,4,3,5,2,3.444444444,3,4,1,2,3,"4",5,1,5,3.111111111
"195","E195","M",16,"Urbana",2,"AC","Controle",5,1,3,3,5,5,4,4,2,3.555555556,3,1,5,4,2,"3",1,4,5,3.111111111
"196","E196","M",11,"Urbana",2,"AC","Controle",3,1,3,1,5,3,5,4,5,3.333333333,4,5,3,4,4,"5",4,3,4,4
"197","E197","F",11,"Urbana",2,"AC","Controle",5,3,5,4,5,3,5,3,3,4,3,3,3,3,4,"3",4,4,4,3.444444444
"198","E198","F",10,"Rural",2,"AC","Controle",3,4,3,4,5,3,3,4,3,3.555555556,3,2,1,2,4,"3",2,4,3,2.666666667
"199","E199","M",12,"Urbana",2,"AC","Controle",2,4,3,5,3,4,2,4,2,3.222222222,5,4,3,4,3,"5",3,2,4,3.666666667
"200","E200","F",11,"Urbana",2,"AC","Controle",3,5,2,2,3,NA,5,5,5,3.75,3,1,2,3,1,"3",4,2,5,2.666666667
"201","E201","M",10,"Rural",2,"AC","Controle",5,3,4,2,3,5,4,3,5,3.777777778,1,3,2,2,3,"2",3,1,2,2.111111111
"205","E205","M",NA,"",2,"AC","Controle",1,2,4,5,3,2,4,3,5,3.222222222,5,3,4,1,2,"3",4,5,1,3.111111111
"206","E206","M",12,"",2,"AC","Controle",2,5,4,2,5,1,4,2,1,2.888888889,5,2,1,3,5,"2",1,5,1,2.777777778
"207","E207","F",12,"",2,"AC","Controle",5,3,1,3,4,3,4,3,4,3.333333333,4,3,2,3,5,"5",NA,4,5,3.875
"208","E208","M",12,"",2,"AC","Controle",4,5,4,5,4,5,5,5,3,4.444444444,4,3,4,5,4,"5",4,4,4,4.111111111
"209","E209","F",13,"",2,"AC","Controle",3,3,5,5,5,4,3,3,3,3.777777778,3,2,3,4,2,"4",3,5,3,3.222222222
"211","E211","F",10,"Rural",3,"ML","Controle",5,5,5,5,5,5,1,5,5,4.555555556,4,3,4,4,4,"4",5,5,4,4.111111111
"212","E212","M",11,"Rural",3,"ML","Controle",5,5,5,4,5,3,1,3,5,4,5,3,3,2,2,"3",4,3,2,3
"213","E213","M",12,"Urbana",3,"ML","Controle",4,2,4,3,4,2,4,3,5,3.444444444,3,4,2,5,3,"2",3,5,NA,3.375
"214","E214","M",12,"Rural",3,"ML","Controle",3,2,3,5,3,3,2,3,4,3.111111111,5,3,4,4,NA,"4",3,2,3,3.5
"215","E215","F",11,"Rural",3,"ML","Controle",3,1,4,5,5,5,3,1,5,3.555555556,4,1,4,4,2,"4",3,3,3,3.111111111
"216","E216","M",10,"Rural",3,"ML","Controle",5,NA,5,3,3,3,1,5,5,3.75,2,4,2,2,3,"3",2,4,4,2.888888889
"217","E217","F",10,"Rural",3,"ML","Controle",5,4,5,4,5,5,2,5,5,4.444444444,4,5,5,4,5,"4",3,5,4,4.333333333
"218","E218","M",11,"Rural",3,"ML","Controle",3,4,5,3,5,5,2,3,5,3.888888889,5,3,3,1,2,"4",2,4,1,2.777777778
"219","E219","F",13,"Rural",3,"ML","Controle",4,3,4,3,4,3,1,3,5,3.333333333,4,2,3,4,4,"4",4,4,4,3.666666667
"220","E220","M",12,"Rural",3,"ML","Controle",3,4,3,4,1,3,1,2,4,2.777777778,3,4,2,3,2,"4",5,5,3,3.444444444
"221","E221","F",11,"Rural",3,"ML","Controle",4,5,5,3,4,2,1,3,4,3.444444444,2,4,2,3,4,"3",4,4,3,3.222222222
"222","E222","F",NA,"",3,"ML","Controle",3,3,5,3,1,1,3,3,5,3,4,4,4,2,4,"4",2,4,2,3.333333333
"223","E223","F",NA,"",3,"ML","Controle",3,3,1,3,5,3,1,3,5,3,4,3,4,3,4,"4",2,4,4,3.555555556
"224","E224","M",NA,"",3,"ML","Controle",5,5,5,5,3,5,1,5,5,4.333333333,4,3,5,1,5,"2",5,4,2,3.444444444
"225","E225","F",NA,"",3,"ML","Controle",5,5,5,5,2,5,1,3,5,4,4,4,4,2,4,"4",2,4,4,3.555555556
"226","E226","F",11,"Urbana",4,"CE","Controle",NA,3,2,4,1,NA,NA,3,1,2.333333333,5,5,4,2,5,"4",5,4,2,4
"227","E227","F",12,"Rural",4,"CE","Controle",4,3,5,5,4,3,4,5,3,4,4,3,2,4,3,"2",3,4,3,3.111111111
